taxon_name	CON_18018_4	CON_19044_1	CON_19044_2	CON_19045_1	CON_19048_1	CON_19049_1	CON_19050_1	CON_19051_1	CON_H20_1	CON_H20_2	CON_H20_3	CON_H30_1	CON_H30_2	CON_H30_3	CON_H60_1	DCA_19014_5	DCA_19023_5	DCA_19026_5	DCA_19060_1	DCA_19060_3	DCA_19060_4	DCA_19060_5	DCA_19065_1	DCA_19065_3	DCA_19065_4	DCA_19065_5	DC_19043_1	DC_19043_3	DC_19043_4	DC_19043_5	DC_19046_1	DC_19046_3	DC_19046_4	DC_19046_5	DC_19052_1	DC_19052_4	DC_19052_5	DC_19052_6	DC_19061_1	DC_19061_3	DC_19061_4	DC_19061_5	DC_19063_1	DC_19063_3	DC_19063_4	DC_19063_5	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__unclassified_f__Rhizobiaceae	74	42	45	31	32	15	64	36	62	804	134	450	70	60	180	58	25	41	65	36	19	37	19	36	89	37	38	84	47	20	87	32	53	30	48	26	31	34	204	32	34	34	27	46	69	33	3570	1.25%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	13	1572	266	55	33	25	30	25	0	14	0	0	0	12	0	45	18	194	23	21	8	11	38	35	36	12	39	28	33	23	100	43	17	30	66	28	30	31	25	28	17	25	18	27	20	51	3165	1.11%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella	0	21	8	92	51	67	18	179	0	0	0	0	0	0	0	106	2	10	21	5	22	25	51	272	53	99	7	0	64	0	11	324	37	180	18	406	230	46	26	41	68	29	54	73	264	32	3012	1.06%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	47	56	65	72	109	24	22	247	43	240	105	137	48	139	37	66	69	31	35	70	34	68	27	50	24	107	44	84	62	10	33	224	33	52	23	85	58	22	27	10	15	15	26	38	25	29	2887	1.01%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__unclassified_f__Comamonadaceae	29	101	200	142	47	12	45	74	0	15	17	24	33	39	10	110	76	75	56	45	6	39	25	80	111	64	56	53	76	34	228	49	67	32	93	40	32	98	63	71	57	53	76	31	40	62	2786	0.98%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	64	2	0	1	0	0	7	0	0	0	0	0	0	0	0	0	20	1	0	0	2	28	0	0	0	0	0	0	4	0	2155	300	20	1	9	3	1	0	0	22	1	7	2	4	0	0	2654	0.93%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	29	14	33	7	13	3	55	51	73	74	3	18	50	18	75	405	28	51	32	144	80	150	7	30	16	285	140	17	51	0	44	53	13	67	42	50	17	88	8	20	33	53	71	7	8	12	2538	0.89%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia	23	158	223	200	45	32	30	37	28	0	20	23	25	4	6	64	81	92	92	26	5	31	53	39	39	34	35	52	95	36	46	44	56	28	84	37	44	97	36	24	33	51	33	30	33	37	2341	0.82%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	58	152	49	30	36	54	70	20	43	69	90	80	64	63	124	88	149	35	22	75	4	17	10	12	21	17	33	73	61	39	25	14	61	70	39	19	23	47	15	7	17	34	12	68	39	15	2163	0.76%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter	72	145	117	62	31	22	18	31	18	74	95	68	37	71	82	88	58	197	12	19	12	23	18	24	55	16	30	41	94	17	67	24	23	27	43	26	19	29	52	20	10	31	12	19	26	45	2120	0.75%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	9	16	28	15	40	123	79	20	82	74	69	2	24	87	72	45	36	85	57	63	3	2	12	13	25	53	111	46	111	4	0	13	31	41	61	71	18	52	20	43	99	29	103	58	27	38	2110	0.74%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium	48	246	73	83	37	43	21	26	2	49	91	50	0	17	107	84	35	76	51	37	1	27	30	36	41	47	30	68	68	21	42	59	19	26	32	18	35	26	46	20	22	15	16	21	24	28	1994	0.7%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pelomonas	364	50	68	72	26	19	25	45	7	33	19	0	10	0	95	35	54	39	43	41	4	32	22	31	34	41	43	31	81	8	40	44	40	48	23	58	28	37	54	13	14	22	26	29	32	17	1897	0.67%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas	0	33	33	49	14	11	54	10	9	154	198	207	291	183	203	26	9	30	21	15	1	17	1	0	2	9	6	7	20	2	29	6	15	31	0	20	8	10	6	10	2	7	5	13	3	0	1780	0.63%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__unclassified_o__Enterobacterales; g__unclassified_o__Enterobacterales	0	35	32	14	24	13	14	0	0	106	117	135	211	164	79	7	17	54	20	17	0	13	0	102	78	29	29	14	31	0	0	15	14	18	32	45	10	41	23	13	22	28	27	24	14	11	1692	0.59%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__unclassified_f__Lachnospiraceae	15	22	14	23	28	0	34	53	160	30	10	0	14	7	41	42	20	18	29	21	3	8	15	15	36	53	67	15	8	4	2	8	10	9	66	16	8	26	17	60	307	39	73	23	23	49	1541	0.54%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	0	0	0	80	1	0	7	187	62	0	0	0	0	0	96	71	93	10	11	12	0	0	168	8	15	44	20	0	32	0	22	3	15	25	24	64	18	0	11	19	19	23	59	88	77	116	1500	0.53%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__unclassified_f__Chitinophagaceae	14	40	48	39	26	21	20	32	0	92	52	87	59	63	54	35	27	32	28	27	13	27	26	26	24	35	43	26	41	15	7	34	16	30	39	25	35	29	27	8	13	9	20	24	43	17	1448	0.51%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0	26	9	56	56	29	68	7	24	14	0	0	27	0	0	37	85	35	30	17	1	27	5	31	18	48	32	14	32	2	1	56	60	30	107	38	17	69	42	71	58	48	49	22	17	22	1437	0.5%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__unclassified_f__Pseudonocardiaceae	8	33	38	43	19	8	18	28	5	67	55	80	67	27	63	39	37	51	20	20	0	19	5	17	45	24	26	46	37	10	19	22	20	23	44	25	30	28	82	31	21	29	7	28	40	20	1424	0.5%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1	0	3	0	108	13	22	17	72	15	0	12	0	0	13	0	92	1	10	9	12	11	5	16	129	111	6	0	0	0	0	9	48	12	60	3	199	105	2	9	3	25	4	36	4	102	85	1383	0.49%
d__Bacteria; k__norank_d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__norank_f__Gemmatimonadaceae	338	0	0	0	4	0	21	0	23	24	0	0	0	18	0	0	57	11	27	3	0	36	1	14	19	26	18	8	0	0	2	10	16	20	76	10	0	29	20	177	118	72	95	38	8	3	1342	0.47%
d__Bacteria; k__norank_d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__norank_o__Chloroplast; g__norank_f__norank_o__Chloroplast	2	9	29	6	7	3	26	27	75	92	15	22	29	38	90	42	19	21	16	42	1	57	21	36	48	37	14	6	43	5	7	5	34	39	54	29	31	18	25	36	41	21	27	13	36	44	1338	0.47%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Novispirillum	0	53	78	36	50	23	26	51	0	0	6	40	5	0	14	70	48	47	16	30	2	33	0	37	38	30	31	38	57	6	12	38	17	50	30	26	31	25	18	27	27	15	5	46	5	18	1255	0.44%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Vibrionimonas	14	36	45	39	23	20	18	29	15	35	40	33	21	76	27	25	28	25	20	11	0	15	12	20	19	28	33	29	51	13	54	21	29	23	12	38	22	33	22	13	11	10	11	19	19	38	1175	0.41%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0	11	0	2	16	6	3	47	1	0	9	0	0	8	6	41	68	83	8	67	3	10	4	68	45	25	22	2	16	0	8	28	27	6	33	129	12	28	25	22	36	19	29	61	73	52	1159	0.41%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__unclassified_f__Xanthobacteraceae	133	19	19	23	22	17	29	21	6	6	6	15	29	4	42	16	50	28	23	26	2	23	9	26	28	37	17	21	42	2	7	26	14	17	20	27	27	14	44	42	22	27	17	11	24	8	1088	0.38%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	61	36	38	23	22	2	20	22	16	72	80	97	61	64	81	11	10	18	25	3	1	3	3	20	21	12	6	13	10	9	9	17	8	9	40	7	17	17	0	42	8	10	17	14	4	6	1085	0.38%
d__Bacteria; k__norank_d__Bacteria; p__unclassified_k__norank_d__Bacteria; c__unclassified_k__norank_d__Bacteria; o__unclassified_k__norank_d__Bacteria; f__unclassified_k__norank_d__Bacteria; g__unclassified_k__norank_d__Bacteria	80	2	19	0	4	7	23	5	51	35	4	20	2	0	23	10	90	14	1	5	2	11	3	19	1	50	47	0	3	0	9	20	4	27	56	8	10	8	119	83	95	48	34	15	4	7	1078	0.38%
d__Bacteria; k__norank_d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus	17	37	59	31	27	10	14	21	5	22	3	5	0	0	43	49	31	40	34	34	0	23	10	21	39	30	28	23	13	8	2	25	28	32	28	26	33	33	25	6	11	49	26	24	25	10	1060	0.37%
d__Bacteria; k__norank_d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae; g__norank_f__Obscuribacteraceae	14	16	34	26	14	3	25	19	51	75	54	36	21	26	35	13	28	10	18	18	0	21	14	16	24	35	20	21	27	0	14	11	29	10	22	28	27	16	22	8	10	15	9	12	27	5	979	0.34%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium	2	7	29	38	20	5	24	14	6	54	55	44	35	59	54	10	21	28	19	30	0	13	0	15	28	18	18	6	11	0	6	33	20	21	22	30	27	16	19	11	6	26	19	19	26	11	975	0.34%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Cloacibacterium	0	41	100	56	12	9	17	56	0	22	0	4	0	0	0	65	56	45	3	22	0	15	0	28	57	4	19	4	36	6	66	9	36	15	32	6	10	14	8	1	6	48	7	6	5	12	958	0.34%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__norank_o__Rhodospirillales; g__norank_f__norank_o__Rhodospirillales	0	82	72	19	18	9	32	31	0	0	0	0	0	0	0	66	20	42	12	25	0	18	8	15	52	1	33	15	52	6	80	7	10	10	27	1	14	30	17	9	9	19	8	22	36	29	956	0.34%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus	31	0	0	0	0	2	3	0	28	94	95	164	206	141	139	0	0	1	0	3	0	0	0	2	0	1	0	0	2	0	0	0	0	0	1	5	0	0	0	0	2	1	1	5	0	0	927	0.33%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__unclassified_c__Gammaproteobacteria; f__unclassified_c__Gammaproteobacteria; g__unclassified_c__Gammaproteobacteria	1	1	2	2	4	0	42	0	21	2	140	187	99	220	0	10	7	5	0	0	28	4	24	0	0	9	2	0	8	2	29	7	2	8	3	0	0	0	0	9	24	5	0	0	0	0	907	0.32%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Blastomonas	0	63	63	60	47	0	30	46	0	0	0	14	0	0	19	59	14	31	27	20	0	5	0	0	39	5	20	14	28	13	49	17	16	20	33	9	10	13	21	1	0	25	4	8	8	11	862	0.3%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Megasphaera	0	8	5	3	0	8	5	9	6	0	0	0	0	0	0	0	6	0	8	150	0	0	0	0	0	53	36	417	9	0	0	0	3	6	0	61	2	7	0	7	7	8	24	2	8	0	858	0.3%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus	0	27	30	17	21	4	15	19	0	0	0	0	0	0	0	35	12	24	42	26	0	22	10	21	31	18	24	28	25	3	15	31	35	28	20	35	27	20	22	2	8	16	22	24	25	20	804	0.28%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	4	20	23	14	51	3	45	12	0	6	15	12	5	24	32	14	48	14	47	14	0	31	2	6	25	20	3	25	46	20	16	12	11	7	30	10	9	4	14	6	11	26	17	16	13	16	799	0.28%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides	0	5	1	0	0	0	5	11	1	1	0	12	0	21	0	53	7	0	6	123	46	113	1	0	0	72	102	0	10	0	0	1	3	22	31	14	0	6	22	27	27	8	26	0	0	0	777	0.27%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium	0	13	8	31	14	33	11	18	0	41	8	7	22	23	51	11	7	22	3	24	0	0	2	1	20	19	12	8	197	2	4	3	11	7	4	13	11	15	41	1	7	11	6	15	13	6	776	0.27%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis	7	28	50	9	14	0	13	17	3	30	15	19	39	27	43	23	16	37	9	4	0	11	0	15	37	9	18	15	37	1	32	29	26	18	7	8	12	21	17	12	8	17	4	5	5	5	772	0.27%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Erythrobacter	0	0	28	21	47	5	17	24	0	27	11	0	26	23	19	17	14	10	26	27	0	11	8	22	27	8	6	12	13	2	0	14	33	14	11	28	13	24	37	3	10	8	6	12	42	16	722	0.25%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium	4	11	9	38	17	13	16	32	8	0	40	11	9	0	8	44	6	53	5	10	0	19	2	3	22	5	0	1	5	5	11	16	13	10	52	19	38	19	34	20	14	8	41	9	8	6	714	0.25%
d__Bacteria; k__norank_d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas	205	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	0	14	2	0	14	0	0	0	21	13	9	0	0	2	11	8	10	35	0	6	0	41	99	51	56	55	0	0	10	689	0.24%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia	0	26	16	25	0	6	36	0	37	20	0	0	0	6	12	12	10	2	55	5	13	25	2	6	16	24	17	0	9	5	0	20	6	15	4	15	0	17	4	14	118	3	31	23	10	23	688	0.24%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella	0	43	0	0	0	0	0	0	11	0	0	0	0	0	0	77	6	0	36	102	9	66	0	4	0	0	51	102	83	0	0	0	0	0	0	16	17	15	0	0	4	0	2	0	1	0	645	0.23%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium	0	35	34	11	18	1	6	19	5	0	16	0	0	9	0	27	22	42	0	13	0	17	3	17	34	6	16	17	25	0	16	30	19	31	14	11	16	25	17	7	12	21	14	4	4	1	635	0.22%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__norank_f__Caulobacteraceae	0	8	25	24	25	5	11	15	0	0	7	14	11	0	0	19	10	17	20	33	1	8	0	26	30	20	19	19	21	1	3	14	25	6	25	10	11	22	22	6	8	17	10	20	23	18	629	0.22%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium	26	8	7	14	28	4	4	11	0	0	20	26	0	0	24	8	14	13	23	18	0	20	3	22	32	21	5	22	8	0	0	10	17	8	17	10	10	11	48	16	4	12	11	29	19	13	616	0.22%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter	0	14	36	25	9	8	8	12	0	0	0	0	0	0	0	26	16	12	15	19	1	14	2	23	14	21	32	21	51	4	10	41	17	12	8	20	36	20	18	9	10	17	3	4	0	3	611	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	5	22	15	17	14	0	11	12	0	8	55	28	22	15	0	13	15	11	21	15	1	13	4	19	25	16	11	0	16	3	9	0	20	9	10	17	5	18	40	2	3	16	4	19	14	17	610	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Photobacterium	0	13	4	3	46	29	27	0	0	0	0	0	0	0	0	3	23	8	0	23	0	37	0	0	0	6	3	0	3	4	27	21	97	112	10	9	0	0	19	14	7	37	8	0	6	0	599	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	0	12	10	0	5	0	3	13	40	14	0	0	7	4	1	14	0	13	13	11	0	0	0	14	14	0	4	0	17	0	66	3	9	30	4	122	1	13	0	27	19	14	40	12	28	0	597	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Bosea	0	40	48	26	12	4	3	0	0	30	0	15	18	0	28	9	8	45	12	8	3	7	4	6	14	8	7	10	7	3	12	9	25	13	19	8	9	9	35	12	11	21	19	0	13	6	596	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Chloroflexi; c__KD4-96; o__norank_c__KD4-96; f__norank_o__norank_c__KD4-96; g__norank_f__norank_o__norank_c__KD4-96	153	11	0	8	18	0	25	0	18	7	0	16	0	0	0	0	25	7	0	0	6	96	5	3	0	12	0	0	0	0	0	10	3	55	12	0	4	3	14	21	17	0	31	1	5	0	586	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	0	0	0	0	13	26	21	106	2	0	0	0	0	0	0	8	2	19	5	9	0	6	3	27	15	35	5	3	0	1	0	24	7	6	6	48	14	2	8	12	9	0	41	19	21	28	551	0.19%
d__Bacteria; k__norank_d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__norank_o__Vicinamibacterales; g__norank_f__norank_o__Vicinamibacterales	72	6	9	13	12	3	9	9	17	0	0	0	11	0	23	3	25	9	6	0	2	40	0	4	0	5	13	0	4	2	0	1	23	7	8	12	0	0	13	72	39	38	19	6	12	0	547	0.19%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia	0	9	33	34	8	5	8	5	0	13	0	0	0	0	43	17	28	22	4	4	3	16	1	18	31	7	10	36	13	1	75	13	13	7	4	9	5	0	5	12	3	10	4	2	7	8	546	0.19%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	28	4	0	15	25	1	29	26	0	0	0	0	0	0	14	8	12	17	21	27	2	22	0	5	16	5	0	16	17	0	0	14	29	0	10	19	15	13	8	12	21	12	27	18	7	19	534	0.19%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Hafniaceae; g__Hafnia-Obesumbacterium	0	0	21	12	37	7	22	42	0	0	0	0	0	0	0	6	13	13	15	29	0	17	0	16	21	11	11	11	0	0	8	9	12	11	23	16	26	14	19	12	0	14	18	7	17	12	522	0.18%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	11	0	12	0	3	1	16	1	11	16	45	0	13	15	3	8	47	6	3	7	3	5	3	8	18	8	16	7	11	2	0	8	11	7	6	2	13	8	37	14	43	9	23	7	13	8	508	0.18%
