taxon_name	DCA_18019_1	DCA_18019_6	DCA_18021_1	DCA_18021_10	DCA_18021_12	DCA_18021_2	DCA_18024_2	DCA_18024_6	DCA_19001_2	DCA_19001_6	DCA_19026_2	DC_18011_3	DC_18011_7	DC_18012_13	DC_18012_15	DC_18012_5	DC_18012_6	DC_18020_1	DC_18020_5	DC_18022_14	DC_18022_16	DC_18022_3	DC_18022_4	DC_18026_2	DC_18026_6	DC_18029_2	DC_18029_7	DC_19030_2	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	23	0	8	8	0	0	20	0	3	0	11	574	25	0	0	0	37	112	0	169	15	77	20	143	26	0	0	12	1283	0.74%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__unclassified_f__Pseudonocardiaceae	54	58	68	21	55	38	26	8	93	57	87	0	79	48	38	0	0	46	90	42	43	10	29	23	14	31	116	39	1213	0.7%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__norank_o__Clostridia_UCG-014; g__norank_f__norank_o__Clostridia_UCG-014	85	77	2	0	3	78	20	0	14	97	1	0	5	0	0	0	0	316	49	0	15	0	0	78	176	0	135	61	1212	0.7%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005	17	134	15	16	0	346	54	0	0	73	0	0	0	0	0	0	0	207	121	7	68	0	0	19	71	28	4	10	1190	0.69%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	63	17	68	51	54	28	102	0	30	29	30	94	62	84	0	28	56	38	70	67	62	8	26	37	9	28	21	6	1168	0.67%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group	24	231	6	36	8	151	48	0	33	70	1	0	16	2	0	0	0	254	71	19	106	0	0	13	37	0	36	2	1164	0.67%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__unclassified_f__Comamonadaceae	0	8	41	34	14	18	9	0	60	48	18	8	33	125	60	57	252	5	43	27	0	48	86	25	13	26	83	12	1153	0.67%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	25	140	0	4	0	0	1	883	0	0	14	0	5	11	2	0	0	4	13	7	0	0	0	5	0	0	0	7	1121	0.65%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Terrisporobacter	52	68	0	16	67	91	66	0	0	109	9	0	0	0	0	0	0	75	11	59	195	0	0	35	151	53	18	0	1075	0.62%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	71	83	67	72	59	26	10	0	0	0	77	14	70	55	27	0	0	13	33	76	78	39	0	6	10	7	28	27	948	0.55%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Eubacterium_coprostanoligenes_group; g__norank_f__Eubacterium_coprostanoligenes_group	18	72	19	5	23	68	160	0	0	33	0	0	5	0	0	0	0	139	95	37	66	0	0	47	75	0	8	10	880	0.51%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group	43	74	20	14	20	63	50	0	9	72	21	0	22	3	0	18	0	84	64	0	40	0	0	5	113	0	39	58	832	0.48%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium	12	0	18	10	11	0	0	0	37	19	3	67	0	65	51	167	107	0	17	21	0	70	58	18	0	18	28	3	800	0.46%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	15	3	17	106	27	0	0	0	52	38	11	65	17	60	54	47	0	0	38	9	0	114	39	11	14	21	35	7	800	0.46%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0	167	0	49	42	6	21	0	125	0	0	125	15	19	0	0	0	12	145	11	17	0	5	17	0	0	6	5	787	0.45%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1	28	10	0	12	110	9	93	0	0	38	6	0	0	0	0	0	0	49	4	135	128	0	0	10	115	28	0	0	775	0.45%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	47	23	34	55	50	10	30	0	9	0	20	12	33	83	75	0	19	11	30	17	17	28	47	19	0	21	13	33	736	0.42%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__p-251-o5; g__norank_f__p-251-o5	14	49	0	0	0	258	0	0	11	76	0	0	5	0	0	0	0	115	8	0	0	0	0	14	69	0	80	0	699	0.4%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pelomonas	17	13	18	11	12	11	21	0	16	0	8	106	21	0	77	92	76	0	16	5	7	50	84	16	0	13	8	0	698	0.4%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	46	20	31	25	41	14	11	0	17	8	33	8	29	73	40	8	6	12	15	14	25	42	77	22	7	16	13	33	686	0.4%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__NK4A214_group	6	101	15	21	14	174	45	0	0	29	0	0	0	0	0	0	0	157	23	5	43	0	0	16	27	0	0	0	676	0.39%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002	0	137	28	33	8	28	123	3	16	0	0	0	0	4	0	0	0	38	5	54	108	0	0	6	20	0	37	0	648	0.37%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium	18	25	57	45	48	8	0	0	31	0	11	15	4	28	1	0	0	8	25	52	69	5	22	38	24	58	19	5	616	0.36%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Vibrionimonas	63	21	32	19	30	21	29	0	0	0	35	9	30	17	19	0	0	0	39	0	25	30	35	0	0	11	30	27	522	0.3%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Bosea	20	0	20	51	17	5	11	0	31	8	10	16	26	46	60	15	0	3	18	16	6	11	20	11	18	23	27	9	498	0.29%
d__Bacteria; k__norank_d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Sneathia	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	424	30	0	0	0	0	0	460	0.27%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__unclassified_f__Chitinophagaceae	56	31	16	20	22	0	0	0	21	6	32	0	38	12	47	0	0	0	0	32	22	25	4	22	4	0	2	39	451	0.26%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus	0	51	0	0	3	74	18	0	0	18	0	0	0	0	0	0	0	144	14	0	36	0	0	0	14	0	4	4	380	0.22%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae_RC9_gut_group	20	37	2	0	4	66	0	0	0	32	0	0	0	0	0	0	0	113	9	0	0	0	0	6	78	0	11	1	379	0.22%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__p-2534-18B5_gut_group; g__norank_f__p-2534-18B5_gut_group	6	42	13	0	13	71	18	0	13	61	0	0	0	0	0	0	0	44	8	0	51	0	0	0	19	10	9	0	378	0.22%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter	0	10	27	62	17	0	6	0	0	0	6	13	11	43	31	7	21	4	14	0	23	45	12	0	10	0	0	7	369	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter	6	0	0	214	35	0	0	0	0	0	0	0	4	0	0	0	0	0	0	97	12	0	0	0	0	0	0	0	368	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__norank_o__RF39; g__norank_f__norank_o__RF39	6	46	3	0	0	68	1	0	0	13	0	3	0	0	0	0	0	126	9	17	29	0	0	11	31	0	4	1	368	0.21%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__norank_f__Erysipelotrichaceae	15	55	0	0	0	73	62	0	0	13	3	0	0	0	0	0	0	43	17	0	17	0	0	12	31	0	0	0	341	0.2%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia	0	0	0	4	0	2	0	0	0	0	3	42	15	67	23	24	36	0	7	6	0	44	47	0	0	0	0	9	329	0.19%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__norank_c__Clostridia; f__Hungateiclostridiaceae; g__Fastidiosipila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	10	53	0	203	0	0	0	5	328	0.19%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus	8	22	0	9	0	73	69	0	0	34	0	0	0	0	0	0	0	57	11	0	0	0	0	10	5	20	0	8	326	0.19%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_AC2044_group	0	20	11	0	0	46	32	0	5	0	0	0	0	0	0	0	0	77	36	32	21	0	0	0	22	0	0	0	302	0.17%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0	1	0	4	0	0	18	0	0	0	8	42	0	0	5	0	38	0	0	0	0	0	0	0	0	0	0	177	293	0.17%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__Family_XIII_AD3011_group	15	43	0	0	25	12	19	0	7	4	0	0	0	0	0	0	0	79	0	8	46	0	0	0	21	0	6	5	290	0.17%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Romboutsia	0	0	0	25	32	20	21	0	0	0	0	0	0	8	0	0	0	26	0	17	86	0	0	13	24	0	0	0	272	0.16%
d__Bacteria; k__norank_d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__norank_o__Chloroplast; g__norank_f__norank_o__Chloroplast	4	0	5	0	0	0	0	0	0	2	5	20	0	75	54	0	9	0	6	0	0	33	48	0	0	0	0	0	261	0.15%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	25	11	9	0	9	0	0	0	34	0	6	0	0	28	21	0	18	0	8	14	9	0	22	11	0	0	13	19	257	0.15%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__unclassified_o__Burkholderiales; g__unclassified_o__Burkholderiales	3	33	0	0	35	0	0	63	0	0	0	0	60	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	253	0.15%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__norank_f__Ruminococcaceae	3	8	4	13	10	13	15	2	0	13	2	0	0	0	0	0	0	53	21	12	4	0	0	0	22	0	0	55	250	0.14%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium	0	0	17	82	26	0	4	0	0	0	0	0	0	26	18	0	11	0	8	5	9	35	0	1	0	0	0	7	249	0.14%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	6	10	21	0	31	0	0	0	0	143	35	0	0	0	0	0	246	0.14%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__norank_f__Neisseriaceae	0	5	9	138	63	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	224	0.13%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__unclassified_f__Prevotellaceae	0	21	0	8	0	63	0	0	0	11	5	0	0	0	0	0	0	45	9	0	0	0	3	0	30	0	3	14	212	0.12%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__unclassified_c__Gammaproteobacteria; f__unclassified_c__Gammaproteobacteria; g__unclassified_c__Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	84	0	0	0	0	0	0	0	0	0	0	0	210	0.12%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__norank_o__Peptostreptococcales-Tissierellales; g__Tissierella	0	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	121	0	0	0	0	208	0.12%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus	6	2	18	13	21	0	20	0	0	0	0	18	15	20	4	0	0	6	11	12	12	0	0	16	7	4	0	0	205	0.12%
d__Bacteria; k__norank_d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae; g__norank_f__Obscuribacteraceae	8	8	10	5	19	0	1	0	12	0	9	0	23	22	6	0	0	0	9	4	7	11	28	5	0	0	0	17	204	0.12%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__unclassified_f__Oscillospiraceae	0	6	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	71	7	2	2	0	3	0	0	0	0	88	194	0.11%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Nocardia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	26	0	0	0	0	122	34	0	0	0	0	0	191	0.11%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	0	9	6	21	5	32	0	0	0	6	0	3	0	5	0	0	0	22	25	3	5	9	0	8	29	0	0	0	188	0.11%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter	8	0	0	0	44	4	19	0	0	0	0	0	0	0	0	0	0	11	3	13	46	0	0	10	29	0	0	0	187	0.11%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Dolosigranulum	0	0	41	0	0	61	50	14	0	10	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	181	0.1%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Thauera	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0.1%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__unclassified_f__Oxalobacteraceae	0	0	27	0	0	0	0	0	0	0	0	0	0	51	0	37	38	24	0	0	0	0	0	0	0	0	0	0	177	0.1%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__unclassified_o__Bacteroidales; g__unclassified_o__Bacteroidales	3	32	0	0	0	44	0	0	0	7	0	0	0	0	0	0	0	41	1	0	0	0	0	0	25	0	22	0	175	0.1%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__norank_o__Peptostreptococcales-Tissierellales; g__Peptoniphilus	0	0	5	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	7	0	5	0	0	6	0	119	20	0	174	0.1%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	0	0	0	48	19	0	0	0	0	0	1	0	0	54	14	0	0	4	8	0	0	0	8	0	0	0	0	12	168	0.1%
d__Bacteria; k__norank_d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Gastranaerophilales; f__norank_o__Gastranaerophilales; g__norank_f__norank_o__Gastranaerophilales	0	8	0	0	0	27	18	0	0	0	0	0	4	0	0	0	0	59	13	0	0	0	0	0	29	5	0	0	163	0.09%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__unclassified_f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	98	17	25	0	0	0	8	0	162	0.09%
d__Bacteria; k__norank_d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__SM1A02	11	0	5	0	8	0	3	0	0	0	1	0	15	43	19	0	0	0	0	5	0	23	26	0	0	0	0	0	159	0.09%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Eubacterium_siraeum_group	3	37	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	77	11	0	0	0	0	4	15	0	0	5	156	0.09%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group	15	19	0	0	0	8	3	0	0	8	2	0	0	0	0	0	0	16	5	0	13	0	0	0	22	0	0	35	146	0.08%
d__Bacteria; k__norank_d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__norank_o__SBR1031; g__norank_f__norank_o__SBR1031	0	0	0	0	39	0	13	0	0	0	0	4	0	0	0	0	0	68	15	0	0	0	0	0	0	0	0	0	139	0.08%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Proteiniclasticum	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	41	0	0	0	0	135	0.08%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Negativicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	6	0	133	0.08%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	83	133	0.08%
d__Bacteria; k__norank_d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__Truepera	0	3	0	0	67	0	28	0	0	0	0	0	4	0	0	0	0	5	20	1	0	0	0	0	4	0	0	0	132	0.08%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium	30	0	0	0	15	4	0	0	0	0	7	0	0	0	4	0	0	9	11	10	9	5	11	0	0	0	0	16	131	0.08%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Pseudogracilibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	121	7	0	0	129	0.07%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Anaerorhabdus_furcosa_group	7	25	0	2	3	11	18	0	0	0	0	0	0	0	0	0	0	36	17	0	0	0	0	0	9	0	0	0	128	0.07%
